M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, w_mode, latency
32,96,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,sta,32856
32,96,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,dyn,33472
32,64,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,sta,57248
32,64,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,57252
32,64,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,sta,57244
32,64,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,57256
32,64,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,dyn,61208
32,96,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,43492
32,64,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,dyn,61216
32,96,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,sta,43236
32,64,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,dyn,74340
32,96,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,dyn,47280
32,96,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,dyn,47272
32,64,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,dyn,74348
32,96,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,sta,59280
32,96,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,sta,57512
32,64,16,32,4,64,64,56,56,3,3,1,1,1,1,1,1,dyn,87248
32,96,16,32,4,64,64,56,56,3,3,1,1,1,1,1,1,sta,59272
32,64,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,sta,87108
32,64,16,32,4,64,64,56,56,3,3,1,1,1,1,1,1,sta,87100
32,64,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,dyn,87256
32,64,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,sta,92388
32,96,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,dyn,59300
32,96,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,57520
32,64,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,sta,92396
32,96,16,32,4,64,64,56,56,3,3,1,1,1,1,1,1,dyn,59292
32,96,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,sta,64544
32,64,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,dyn,94160
32,96,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,sta,64536
32,64,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,dyn,94168
32,96,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,dyn,66212
32,96,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,dyn,66204
32,64,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,113480
32,64,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,sta,113472
32,64,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,sta,113476
32,96,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,dyn,74492
32,64,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,sta,113468
32,96,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,dyn,74484
32,64,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,dyn,121804
32,64,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,dyn,121812
32,96,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,sta,85616
32,96,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,sta,85624
32,96,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,dyn,93852
32,96,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,dyn,93860
32,64,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,dyn,148076
32,64,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,dyn,148068
32,96,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,113752
32,96,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,sta,113744
64,64,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,4996
64,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,5380
64,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,dyn,5380
64,64,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,sta,6520
64,64,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,7568
64,64,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,dyn,7568
64,64,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,dyn,8428
64,64,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,sta,8428
64,64,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,dyn,8932
64,64,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,dyn,8940
64,64,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,sta,13692
64,64,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,dyn,13692
32,64,16,32,4,64,8,224,224,7,7,2,2,3,3,3,3,sta,235400
64,64,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,sta,23984
64,64,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,23988
32,64,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,sta,235408
64,64,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,dyn,26440
64,64,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,sta,29248
32,64,16,32,4,64,8,224,224,7,7,2,2,3,3,3,3,dyn,235380
32,64,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,dyn,235388
64,64,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,dyn,26432
32,96,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,dyn,148220
32,96,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,dyn,148212
64,64,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,29252
64,64,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,29256
64,64,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,sta,29244
32,96,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,dyn,157964
32,96,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,sta,157964
32,96,16,32,4,64,8,224,224,7,7,2,2,3,3,3,3,sta,157956
32,96,16,32,4,64,8,224,224,7,7,2,2,3,3,3,3,dyn,157956
64,64,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,dyn,40248
64,64,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,dyn,40256
64,64,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,sta,46828
64,64,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,sta,46820
64,64,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,dyn,52132
64,64,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,sta,57376
64,64,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,dyn,52124
64,64,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,57384
64,64,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,sta,57384
64,64,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,sta,57376
64,64,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,dyn,74476
64,64,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,dyn,74468
64,64,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,dyn,79768
64,64,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,dyn,79776
64,64,16,16,8,128,64,56,56,3,3,1,1,1,1,1,1,sta,87236
64,64,16,32,4,128,64,56,56,3,3,1,1,1,1,1,1,sta,87228
64,64,16,32,4,128,64,56,56,3,3,1,1,1,1,1,1,dyn,89680
64,64,16,16,8,128,64,56,56,3,3,1,1,1,1,1,1,dyn,89688
64,64,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,dyn,148204
64,64,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,dyn,148196
64,64,16,16,8,128,8,224,224,7,7,2,2,3,3,3,3,sta,235536
64,64,16,16,8,128,8,224,224,7,7,2,2,3,3,3,3,dyn,237076
64,64,16,32,4,128,8,224,224,7,7,2,2,3,3,3,3,dyn,237068
64,64,16,32,4,128,8,224,224,7,7,2,2,3,3,3,3,sta,235528
32,32,16,32,4,64,192,35,35,1,1,1,1,0,0,0,0,sta,23640
32,32,16,32,4,192,1280,8,8,1,1,1,1,0,0,0,0,sta,24224
32,32,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,sta,24232
32,32,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,dyn,37068
32,32,16,32,4,64,192,35,35,1,1,1,1,0,0,0,0,dyn,23640
32,32,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,sta,32420
32,32,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,dyn,23648
32,32,16,32,4,192,192,17,17,3,3,2,2,0,0,0,0,dyn,37060
32,32,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,dyn,27592
32,32,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,sta,42968
32,32,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,sta,23648
32,32,16,32,4,64,256,35,35,1,1,1,1,0,0,0,0,sta,31244
32,32,16,32,4,384,1280,8,8,1,1,1,1,0,0,0,0,sta,47640
32,32,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,sta,42968
32,64,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,dyn,12724
32,64,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,sta,12724
32,64,16,32,4,192,1280,8,8,1,1,1,1,0,0,0,0,sta,13908
32,64,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,sta,12720
32,32,16,32,4,192,1280,8,8,1,1,1,1,0,0,0,0,dyn,27584
32,32,16,32,4,192,192,17,17,3,3,2,2,0,0,0,0,sta,32412
32,32,16,32,4,64,288,35,35,1,1,1,1,0,0,0,0,sta,35044
32,64,16,32,4,64,192,35,35,1,1,1,1,0,0,0,0,dyn,16272
32,32,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,dyn,31252
32,32,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,sta,31252
32,64,16,32,4,64,192,35,35,1,1,1,1,0,0,0,0,sta,16272
32,32,16,32,4,384,384,8,8,1,3,1,1,1,1,0,0,dyn,49252
32,32,16,32,4,64,288,35,35,1,1,1,1,0,0,0,0,dyn,35040
32,32,16,32,4,128,96,35,35,3,3,2,2,0,0,0,0,dyn,54860
32,64,16,32,4,192,1280,8,8,1,1,1,1,0,0,0,0,dyn,15972
32,32,16,32,4,320,2048,8,8,1,1,1,1,0,0,0,0,sta,63260
32,64,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,dyn,15980
32,32,16,32,4,64,256,35,35,1,1,1,1,0,0,0,0,dyn,31244
32,64,16,32,4,192,192,17,17,3,3,2,2,0,0,0,0,sta,16820
32,64,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,sta,16640
32,32,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,sta,47652
32,64,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,sta,16828
32,64,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,dyn,16640
32,32,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,sta,38292
32,32,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,sta,39840
32,32,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,sta,35052
32,32,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,dyn,56880
32,32,16,32,4,192,2048,8,8,1,1,1,1,0,0,0,0,sta,38284
32,32,16,32,4,384,384,8,8,3,1,1,1,0,0,1,1,dyn,49252
32,32,16,32,4,384,384,8,8,1,3,1,1,1,1,0,0,sta,42960
32,64,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,dyn,18576
32,64,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,sta,18576
32,64,16,32,4,64,256,35,35,1,1,1,1,0,0,0,0,sta,21312
32,32,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,dyn,35048
32,64,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,sta,19760
32,32,16,32,4,320,1280,8,8,1,1,1,1,0,0,0,0,sta,39832
32,32,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,sta,55460
32,64,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,sta,20524
32,64,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,sta,22108
32,32,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,sta,66012
32,64,16,32,4,64,256,35,35,1,1,1,1,0,0,0,0,dyn,21312
32,64,16,32,4,320,1280,8,8,1,1,1,1,0,0,0,0,sta,21712
32,64,16,32,4,192,2048,8,8,1,1,1,1,0,0,0,0,sta,21656
32,64,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,sta,33808
32,64,16,32,4,192,192,17,17,3,3,2,2,0,0,0,0,dyn,21348
32,32,16,32,4,384,384,8,8,3,1,1,1,0,0,1,1,sta,42960
32,64,16,32,4,384,384,8,8,1,3,1,1,1,1,0,0,sta,22100
32,64,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,sta,22108
32,64,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,dyn,21356
32,64,16,32,4,384,384,8,8,3,1,1,1,0,0,1,1,sta,22100
32,32,16,32,4,320,1280,8,8,1,1,1,1,0,0,0,0,dyn,45632
32,32,16,32,4,320,192,17,17,3,3,2,2,0,0,0,0,dyn,61432
32,32,16,32,4,192,2048,8,8,1,1,1,1,0,0,0,0,dyn,43844
32,32,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,dyn,43852
32,32,16,32,4,128,768,17,17,1,1,1,1,0,0,0,0,sta,47644
32,64,16,32,4,64,288,35,35,1,1,1,1,0,0,0,0,dyn,23864
32,64,16,32,4,128,768,17,17,1,1,1,1,0,0,0,0,sta,25132
32,64,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,sta,24440
32,64,16,32,4,64,288,35,35,1,1,1,1,0,0,0,0,sta,23864
32,64,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,sta,24440
32,64,16,32,4,384,1280,8,8,1,1,1,1,0,0,0,0,sta,25604
32,64,16,32,4,128,768,17,17,1,1,1,1,0,0,0,0,dyn,25500
32,32,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,dyn,45640
32,32,16,32,4,320,192,17,17,3,3,2,2,0,0,0,0,sta,53520
32,64,16,32,4,192,2048,8,8,1,1,1,1,0,0,0,0,dyn,25188
32,32,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,sta,53528
32,32,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,sta,47648
